"num_obs","_col1"
"16608","20"
"31874","8"
"46511","8"
"128854","1"
"91965","1"
"142756","1"
"18662","15"
"244542","1"
"9956","52"
"40636","3"
"46039","3"
"22852","9"
"14440","26"
"74680","3"
"44604","6"
"94922","1"
"17052","27"
"20936","15"
"19343","14"
"27242","9"
"51158","1"
"25154","13"
"89642","1"
"84523","4"
"18996","19"
"66791","3"
"24940","14"
"78018","2"
"51691","3"
"31471","9"
"33105","5"
"39474","8"
"27516","8"
"13640","26"
"99856","1"
"25143","10"
"28900","11"
"38433","4"
"115786","1"
"24225","11"
"53671","5"
"67642","1"
"15386","28"
"106820","1"
"43511","5"
"18007","15"
"18895","19"
"30693","8"
"18190","15"
"33019","14"
"153082","1"
"29469","9"
"47009","4"
"464390","1"
"44705","6"
"51951","5"
"41181","4"
"63586","3"
"174996","1"
"144537","1"
"27758","11"
"19020","16"
"42703","8"
"58281","2"
"34525","6"
"42345","4"
"28654","8"
"32637","6"
"37174","7"
"97188","1"
"32139","10"
"67459","4"
"52173","5"
"43455","3"
"39017","6"
"32163","9"
"64601","1"
"59691","2"
"36890","4"
"91782","2"
"71315","2"
"37265","10"
"35976","2"
"95563","3"
"193728","1"
"27158","11"
"30346","14"
"49699","3"
"73703","2"
"56568","1"
"36441","7"
"78630","2"
"28307","8"
"249032","1"
"151929","1"
"100289","2"
"121276","1"
"58307","3"
"24522","11"
"50391","4"
"78253","3"
"26391","10"
"90855","2"
"95972","1"
"21895","20"
"31066","10"
"38920","3"
"35224","8"
"94998","1"
"32883","8"
"108105","1"
"129005","1"
"85441","2"
"64390","1"
"43121","3"
"101740","1"
"31870","5"
"74802","4"
"69785","2"
"62202","1"
"692549","1"
"31273","4"
"36271","2"
"36060","6"
"37073","5"
"21666","12"
"91472","1"
"45888","1"
"508094","1"
"68028","3"
"54956","2"
"341223","1"
"29083","6"
"96757","1"
"91054","1"
"86674","3"
"18873","11"
"96739","1"
"124071","2"
"50542","3"
"21457","13"
"104643","1"
"86525","3"
"52606","1"
"28939","14"
"58109","4"
"41860","4"
"52865","3"
"98918","2"
"52374","4"
"28208","5"
"95666","1"
"128337","2"
"97371","2"
"26824","10"
"142161","1"
"137303","1"
"23063","13"
"70179","3"
"40834","4"
"34799","7"
"101132","2"
"21393","16"
"31616","4"
"10394","43"
"66183","2"
"84956","3"
"38644","7"
"38409","8"
"64120","1"
"32820","8"
"42194","3"
"42291","3"
"26971","10"
"24436","9"
"87480","1"
"43117","2"
"29596","8"
"61424","3"
"50826","8"
"70623","1"
"140987","1"
"46078","6"
"146409","1"
"20912","13"
"30471","9"
"75227","1"
"138094","1"
"68547","4"
"352857","1"
"67347","2"
"66631","3"
"41304","6"
"35349","8"
"628820","1"
"89914","2"
"154421","2"
"57629","1"
"26199","10"
"23520","10"
"183602","1"
"55402","9"
"21505","14"
"50369","5"
"534803","1"
"120608","1"
"170765","1"
"39657","6"
"304075","1"
"81421","2"
"252817","1"
"227442","1"
"63157","3"
"107389","1"
"76535","4"
"98250","1"
"83103","3"
"205591","1"
"130404","1"
"28605","5"
"48229","2"
"131020","1"
"93698","1"
"49835","2"
"177332","1"
"50022","3"
"129932","1"
"190560","1"
"62655","3"
"42254","4"
"101923","1"
"505753","1"
"130119","1"
"41923","2"
"48440","2"
"99188","1"
"89631","1"
"173905","1"
"156147","2"
"221334","1"
"47005","4"
"54682","3"
"134654","1"
"91476","1"
"38370","7"
"81357","1"
"67086","1"
"150142","2"
"60040","4"
"96123","2"
"87687","1"
"66752","1"
"55016","3"
"36517","6"
"200513","1"
"39722","3"
"103710","1"
"703901","1"
"117368","1"
"110618","4"
"25389","8"
"118819","1"
"64741","2"
"36405","3"
"71086","1"
"57404","4"
"74468","4"
"75656","4"
"65924","2"
"106585","1"
"59965","1"
"36148","5"
"630729","1"
"31859","5"
"36023","8"
"54548","3"
"73716","3"
"30704","7"
"52137","3"
"85747","1"
"40633","2"
"26361","5"
"86549","2"
"44595","2"
"170034","1"
"35269","6"
"35603","4"
"108057","1"
"39685","4"
"128154","2"
"333429","1"
"236048","1"
"31523","3"
"52835","2"
"75999","1"
"48667","4"
"84239","1"
"100699","1"
"101197","2"
"57997","4"
"159104","2"
"156309","2"
"33407","5"
"94722","1"
"62461","2"
"89888","2"
"66235","2"
"65368","2"
"46671","2"
"86911","3"
"88476","1"
"90868","3"
"81143","2"
"96392","1"
"65058","3"
"67991","1"
"92672","1"
"187450","1"
"46128","2"
"87389","1"
"34553","4"
"81740","4"
"60176","3"
"41972","6"
"98373","2"
"35924","4"
"150250","2"
